procedure,specialty
Radio Ablation of Varicose Veins (RFA Ablation) excluding the cost of RFA Catheter,Cardiovascular And Cardiac Surgery Procedure
Radiofrequency (RF) Ablation Atrial Tachycardia/CARTO,Cardiology Procedure
Radiofrequency (RF) Ablation Conventional,Cardiology Procedure
Radiofrequency (RF) Lesion for Trigeminal Neuralgia,Neuro-Surgery Procedure
Radiofrequency (RF) lesion for facet joint pain syndrome,Neuro-Surgery Procedure
Radionuclide Cisternography for CSF leak,Nuclear Medicine Investigation
Radiosynovectomy with Yttrium,Radio-Isotope Therapy
Radius Lower End Excision,Cancer Surgery
Radius Lower End Excision + Wrist Fusion,Cancer Surgery
Ranula Excision,ENT Procedure
Rapid Test for Malaria (Card Test)/QBC Malaria Test,Laboratory Investigation
"Rare Hernias Repair (Spigelian, Obturator, Lumbar, Sciatic) - excluding the cost of mesh and tacker",Abdomen/GI Surgery Procedure
Ray Amputation,Cancer Surgery
Re-Exploration,Cancer Surgery
Re-RCT - Anterior,Dental Procedure
Re-RCT - Posterior,Dental Procedure
Re-suturing (Primary suturing) of corneal wound per eye,Ophthalmology Procedure
Reconstruct. With Interpolation. Composite Flap,Cancer Surgery
Reconstruct. With Local Skin/Mucosal Flap,Cancer Surgery
Reconstruct. With Single Flap (H & N),Cancer Surgery
Reconstruct. With Skin/Mucosal Graft,Cancer Surgery
Reconstruction With Anatomical Closure,Cancer Surgery
Reconstruction With Double Flaps (Head and Neck),Cancer Surgery
Reconstruction With Flap (Chest & Abdominal),Cancer Surgery
Reconstruction of Eyelid Defects - Major,Burns And Plastic Surgery Procedure
Reconstruction of Eyelid Defects - Minor,Burns And Plastic Surgery Procedure
Rectal Biopsy (Megacolon),Paediatric Surgery Procedure
Rectal Polyp-Excision,Abdomen/GI Surgery Procedure
Rectovaginal Fistula (RVF) Repair,Obstetrics And Gynaecology Procedure
Rectum Anterior Resection,Cancer Surgery
Rectum Local Excision,Cancer Surgery
Rectum Post Exenteration,Cancer Surgery
Reduction of Paraphimosis,Nephrology And Urology Procedure
Refraction with auto refraction - Both Eyes,Ophthalmology Investigation
Release of fibrous bands & grafting in (OSMF) treatment under GA,Dental Procedure
Removable Partial Denture - Acrylic Up to 3 teeth,Dental Procedure
Removable Partial Denture - Cast Metal (additional Per tooth),Dental Procedure
Removable Partial Denture - Cast Metal Up to 3 Teeth,Dental Procedure
Removable Partial Denture - Flexible Per Arch,Dental Procedure
Removable Partial Denture - Tooth Addition (per tooth),Dental Procedure
Removable orthodontic appliance / Post Orthodontic R O A -per arch,Dental Procedure
Removal Of Foreign Bodies -without C-ARM,General Surgery
Removal of - Lateral Exostosis/Torus Mandibularis/Torus Palatines/Surgical reduction of Osseous Tuberosity,Dental Procedure
Removal of IUD/IUCD/Pessary,Obstetrics And Gynaecology Procedure
Removal of Plates,Orthopaedics Procedure
Removal of Submandibular Salivary gland,ENT Procedure
Removal of Sutures (All),General Procedure
Removal of Wires & Screw,Orthopaedics Procedure
Removal of corneal foreign body,Ophthalmology Procedure
Removal of foreign body From Ear/otoscopy diagnostic or therapeutic,ENT Procedure
Removal of foreign body From Nose,ENT Procedure
Renal Angioplasty excluding the cost of Stent,Cardiology Procedure
Renal Cortical Scintigraphy with Technetium 99m Dimercaptosuccinic acid (DMSA)/DTPA,Nuclear Medicine Investigation
Repair of Common Bile Duct (CBD),Abdomen/GI Surgery Procedure
Repair of Parotid Duct,ENT Procedure
Repair of Ureterocele -Endoscopic incision,Nephrology And Urology Procedure
Repair of Ureterocele -Lap/Endoscopic,Nephrology And Urology Procedure
Repair of Ureterocele -Open,Nephrology And Urology Procedure
Repetitive nerve stimulation (RNS)-Decremental response (before and after neostigmine),Neurology Investigation
Repetitive nerve stimulation (RNS)-Incremental response,Neurology Investigation
Resection & Anastomosis of Small Intestine,Abdomen/GI Surgery Procedure
Resection Bladder Neck Endoscopic / Bladder neck incision / transurethral incision on prostrate,Nephrology And Urology Procedure
Resection Enucleation of thyroid Adenoma,ENT Procedure
Rest Thallium / Myocardial Perfusion Scintigraphy,Cardiology Investigation
Resuscitation/CPR/Intubation,Critical Care
Reticulocyte Count,Laboratory Investigation
Retinal detachment surgery (RDS) per eye,Ophthalmology Procedure
Retinal detachment surgery (RDS) with scleral buckling per eye,Ophthalmology Procedure
"Retinal laser procedures -green laser for PRP,retinal tears, ROP,endolaser per eye",Ophthalmology Procedure
Retinoblastoma Excision (Paediatric),Cancer Surgery
Retinoblastoma[RB] EUA both eyes,Ophthalmology Procedure
Retro Peritoneal Tumour Removal,Abdomen/GI Surgery Procedure
Retrograde Intrarenal Surgery (RIRS)/ Flexible Ureteroscopy,Nephrology And Urology Procedure
Retrograde Urethrography (RGU),Radiological Investigation
Retromastoid Craniotomy,Cancer Surgery
Retroperitoneal Lymph Node Biopsy (Exploration),Cancer Surgery
Retroperitoneal Lymph Node Diss. Nerve Sp,Cancer Surgery
Retroperitoneal Lymphadenectomy,Cancer Surgery
Retroperitoneal Sarcoma,Cancer Surgery
Retroperitoneal Sarcoma + Visceral Exc.,Cancer Surgery
Retroperitoneal Tumor + Bowel Excision,Cancer Surgery
Retroperitoneal Tumor + Ureter Excision of,Cancer Surgery
Retroperitoneal Tumor Excision,Cancer Surgery
Rh Antibody Titre,Laboratory Investigation
Rheumatoid Factor / Rh Factor Test,Laboratory Investigation
Rhinoplasty- Non-cosmetic,ENT Procedure
Rib Excision Only,Cancer Surgery
Right Hemicolectomy,Abdomen/GI Surgery Procedure
Rigid Sigmoidoscopy,Cancer Surgery
Root end resection and Retro grade filling,Dental Procedure
Rota Virus serology,Laboratory Investigation
Rotablation excluding the cost of Rotablator Burr/Advancer,Cardiology Procedure
Rotationplasty,Cancer Surgery
Rotator cuff repair / RC repair,Orthopaedics Procedure
Routine - H & E,Laboratory Investigation
Rupture Uterus Closure & Repair with Tubal Ligation,Obstetrics And Gynaecology Procedure
Ryles Tube Insertion,Critical Care
S/C Fossa Gland Dissection,Cancer Surgery
SCL 70 Antibody,Laboratory Investigation
SSA- Antibody Ro Serum Test,Laboratory Investigation
SSB- Antibody La Serum Test,Laboratory Investigation
STR Panel studies,Oncology Investigations
STS Excision (Paediatric),Cancer Surgery
Sacral Chordomas,Cancer Surgery
Sacral Tumors,Cancer Surgery
Sacral tumors excision (combined approach),Cancer Surgery
Sacro-Coccygeal Teratoma Excision,Paediatric Surgery Procedure
Samarium-153 therapy for metastatic bone pain palliation,Radio-Isotope Therapy
Scalene Node Biopsy,Biopsies
Scaling,Dental Procedure
Scalp tumor+skull bone excision.,Cancer Surgery
Scapulectomy Partial/Total,Cancer Surgery
Schirmer Test,Ophthalmology Investigation
Scintimammography.,Nuclear Medicine Investigation
Scleral Fixation Tissue glue /fibrin glue per eye,Ophthalmology Procedure
Scleral graft for scleral melting or perforation per eye,Ophthalmology Procedure
Scleral grafting or conjunctival flap for corneal perforation per eye,Ophthalmology Procedure
Sclerotherapy Injection / Banding of Haemorrhoids (cost of drug/sclerotherapy agent/band extra),General Surgery
Sclerotherapy of oesophageal varices,Gastroenterology / Endoscopic Procedures
Scoliosis Surgery/ Deformity Correction of Spine,Orthopaedics Procedure
Scrotal Exploration,Nephrology And Urology Procedure
Scrotectomy,Cancer Surgery
Scrub Typhus IgM,Laboratory Investigation
Second Look Laparoscopy,Cancer Surgery
Second Look Laparotomy,Cancer Surgery
Secondary IOL implantation- AC IOL PC IOL or scleral fixated IOL excluding the cost of IOL per eye,Ophthalmology Procedure
Secondary Surgery for Cleft Lip Deformity,Burns And Plastic Surgery Procedure
Secondary Surgery for Cleft Palate,Burns And Plastic Surgery Procedure
Secondary Suturing (Thoracic),Cancer Surgery
Secondary suture of wounds,General Surgery
Segmental / Hemi Mandibulectomy with graft,Dental Procedure
Segmental /Hemi Mandibulectomy without graft,Dental Procedure
Segmental Hepatecomy,Cancer Surgery
Segmental Resection Lower Limb + Replacemen,Cancer Surgery
Selective Vagotomy & Drainage,Abdomen/GI Surgery Procedure
Semen Analysis (Automated/Manual),Laboratory Investigation
Sengstaken Blakemore (SB) Tube Tamponade,Gastroenterology / Endoscopic Procedures
Senning/Arterial Switch Operation (ASO) with graft,Cardiovascular And Cardiac Surgery Procedure
Septal Perforation Repair,ENT Procedure
Septo-Rhinoplasty,ENT Procedure
Septoplasty,ENT Procedure
Septostomy- Blade,Cardiovascular And Cardiac Surgery Procedure
Sequestrectomy & Saucerisation,Orthopaedics Procedure
Sequestrectomy & Saucerizations -Arthrotomy,Orthopaedics Procedure
Serum AMA M2 (IFA Method),Laboratory Investigation
Serum Ammonia,Laboratory Investigation
Serum Amylase,Laboratory Investigation
Serum Bicarbonate,Laboratory Investigation
Serum Bilirubin total & direct,Laboratory Investigation
Serum Calcium - Ionic,Laboratory Investigation
Serum Calcium -Total,Laboratory Investigation
Serum Ceruloplasmin,Laboratory Investigation
Serum Cholesterol,Laboratory Investigation
Serum Chromogranin A,Laboratory Investigation
Serum Copper,Laboratory Investigation
Serum Creatinine,Laboratory Investigation
Serum Electrophoresis,Laboratory Investigation
Serum Erythropoietin,Laboratory Investigation
Serum Ferritin,Laboratory Investigation
Serum Gastrin,Laboratory Investigation
Serum Glutamic Oxaloacetic Transaminase (SGOT) /Aspartate Aminotransferase (AST),Laboratory Investigation
Serum Glutamic Pyruvic Transaminase (SGPT) / Alanine Aminotransferase (ALT),Laboratory Investigation
Serum Haptoglobin Levels,Laboratory Investigation
Serum IgE Level,Laboratory Investigation
Serum Iron,Laboratory Investigation
Serum Lactate,Laboratory Investigation
Serum Lipase,Laboratory Investigation
Serum Magnesium,Laboratory Investigation
Serum Phosphorus,Laboratory Investigation
Serum Potassium,Laboratory Investigation
Serum Protein electrophoresis with immunofixation electrophoresis (IFE),Laboratory Investigation
Serum Sodium,Laboratory Investigation
Serum Testosterone,Laboratory Investigation
Serum Uric Acid,Laboratory Investigation
Serum aldosterone,Laboratory Investigation
Serum aldosterone/renin ratio,Laboratory Investigation
Serum phenobarbitone level,Laboratory Investigation
Sex hormone binding globulin,Laboratory Investigation
Shirodkar-s sling Operation or other sling operations for prolapse uterus,Obstetrics And Gynaecology Procedure
Shirodkar/ McDonald stitch//Cervical Stitch(Cerclage),Obstetrics And Gynaecology Procedure
Shock Wave Therapy/Matrix Rhythm Therapy/Laser/PEMF -Pulse Electro Magnetic Therapy (per session),Physiotherapy
Short Increment Sensitivity Index (SISI) Tone Decay,ENT Investigation
Shoulder Disarticulation,Cancer Surgery
Shoulder spica,Orthopaedics Procedure
Shoulder/Elbow Arthrodesis,Cancer Surgery
Sialolithotomy/Sialodocotomy/ Closure of Salivary Fistula,Dental Procedure
Silicone Oil injection (per eye),Ophthalmology Procedure
Silicone oil removal per eye,Ophthalmology Procedure
Simple Closure of Perforated peptic Ulcer,Abdomen/GI Surgery Procedure
Simple Cystectomy,Nephrology And Urology Procedure
Simple limbal stem cell transplant SLET per eye,Ophthalmology Procedure
Simple/Radical/Modified radical Mastectomy.,Cancer Surgery
Single Antigen Class I,Oncology Investigations
Single Antigen Class II,Oncology Investigations
Single Hip spica,Orthopaedics Procedure
Single balloon enteroscopy,Gastroenterology / Endoscopic Procedures
Single drug Chemotherapy,Chemotherapy
Single lumen Jugular Catheterization,Nephrology And Urology Procedure
Single lumen Subclavian Catheterization,Nephrology And Urology Procedure
Sinogram,Cardiology Investigation
Skeletal Reconstruction (Extremity),Cancer Surgery
Skeletal Reconstruction (Head & Neck),Cancer Surgery
Skin Biopsy,Biopsies
Skin Flaps - Abdominal,Burns And Plastic Surgery Procedure
Skin Flaps - Advancement Flaps,Burns And Plastic Surgery Procedure
Skin Flaps - Arm Etc.,Burns And Plastic Surgery Procedure
Skin Flaps - Cross Finger,Burns And Plastic Surgery Procedure
Skin Flaps - Direct- cross Leg Flaps- Cross Arm Flap,Burns And Plastic Surgery Procedure
Skin Flaps - Rotation Flaps,Burns And Plastic Surgery Procedure
Skin Flaps - Thoracic,Burns And Plastic Surgery Procedure
Skin Prick Test for Allergy,Laboratory Investigation
Skull Base Surgery,ENT Procedure
Skull Traction Application,Neuro-Surgery Procedure
Slide / Images for Second Opinion- Cancer Cytogenetics,Oncology Investigations
Slow continuous Ultrafiltration,Nephrology And Urology Procedure
Small Bowel By-Pass (Multiple)/(Single),Cancer Surgery
Small Bowel Manometry,Gastroenterology / Endoscopic Procedures
Small Bowel Resection Anastomosis,Cancer Surgery
Small Incision Cataract Surgery (SICS) with IOL excluding the cost of IOL per eye,Ophthalmology Procedure
Small bowel enteroclysis,Radiological Investigation
Smear for Malaria/Filaria Parasite,Laboratory Investigation
Soft Tissue Operation on Joints -Large,Orthopaedics Procedure
Soft Tissue Operation on Joints -Small,Orthopaedics Procedure
Soft Tissue Operations for Congenital Talipes Equinovarus (CTEV),Orthopaedics Procedure
Soft Tissue Operations for Polio/ Cerebral Palsy,Orthopaedics Procedure
Soft Tissue Wide Excision,Cancer Surgery
Soft Tissue Wide Excision + Implant,Cancer Surgery
Soft Tissue Wide Excision + SSG,Cancer Surgery
Soft Tissue Wide Excision Reconstruction,Cancer Surgery
Somatosensory evoked potentials (SSEP),Neurology Investigation
Space Maintainers - Fixed,Dental Procedure
Spasticity Surgery,Neuro-Surgery Procedure
Special Stain,Laboratory Investigation
Special education per session of at least 40 minutes,Behavioural therapy
Speech Assessment,ENT Investigation
Speech Discrimination Score,ENT Investigation
Speech Therapy per session of at least 40 minutes,Behavioural Therapy
Spinal Bifida Surgery Major,Neuro-Surgery Procedure
Spinal Bifida Surgery Minor,Neuro-Surgery Procedure
Spinal Decompression,Cancer Surgery
Spinal Fixation Cervical/dorsolumbar/ lumbosacral,Orthopaedics Procedure
Spinal Fusion Procedure,Neuro-Surgery Procedure
Spinal Fusion Surgery Cervical/ Lumbar Spine -More than 2 Level,Orthopaedics Procedure
Spinal Injections,Orthopaedics Procedure
Spinal Osteotomy,Orthopaedics Procedure
Splenectomy,Cancer Surgery
Splenectomy - For Hypersplenism,Abdomen/GI Surgery Procedure
Splenectomy - For Trauma,Abdomen/GI Surgery Procedure
Splenorenal Anastomosis,Abdomen/GI Surgery Procedure
Splinting - Periodontally weak teeth,Dental Procedure
Split Osteotomy and Internal Fixations,Orthopaedics Procedure
Squint correction for both eyes,Ophthalmology Procedure
Squint correction for one eye,Ophthalmology Procedure
Stapedectomy,ENT Procedure
Stapler haemorrhoidectomy excluding the cost of Stapler,General Surgery
Stereotactic Radiosurgery for brain pathology (X knife / Gamma knife -Two or more sessions),Neuro-Surgery Procedure
Stereotactic Radiosurgery for brain pathology (X knife/Gamma) - ONE session,Neuro-Surgery Procedure
Stereotactic aspiration of intracerebral haematoma,Neuro-Surgery Procedure
Stereotaxic Procedures- biopsy/aspiration of cyst,Neuro-Surgery Procedure
Sterilization (minilap)-post partum/post abortion,Obstetrics And Gynaecology Procedure
Sternal puncture,General Procedure
Stool Routine and Microscopy,Laboratory Investigation
Stool for Clostridium difficile Toxin,Laboratory Investigation
Stool for Occult Blood,Laboratory Investigation
Strapping of Ankle,Orthopaedics Procedure
Strapping of Chest,Orthopaedics Procedure
Strapping of Elbow,Orthopaedics Procedure
Strapping of Finger,Orthopaedics Procedure
Strapping of Knee,Orthopaedics Procedure
Strapping of Shoulder,Orthopaedics Procedure
Strapping of Toes,Orthopaedics Procedure
Strapping of Wrist,Orthopaedics Procedure
Stress Cardiac MRI,Radiological Investigation
Stress Echo- exercise,Radiological Investigation
Stress Echo- pharmacological / D Stress Echo,Radiological Investigation
Stress Myocardial Perfusion Imaging (MPI) - pharmacological,Radiological Investigation
Stress Myocardial Perfusion Imaging (MPI)- exercise,Radiological Investigation
Stress Thallium / Myocardial Perfusion Scintigraphy,Cardiology Investigation
Styloidectomy,ENT Procedure
Sub Mandibular Duct Lithotomy,ENT Procedure
Sub-Total mandibulectomy with graft,Dental Procedure
Sub-Total mandibulectomy without graft,Dental Procedure
Subclavian Catheterization for Haemodialysis,Nephrology And Urology Procedure
Subconjunctival/sub-tenon-s injections in both eyes,Ophthalmology Procedure
Subconjunctival/sub-tenon-s injections in one eye,Ophthalmology Procedure
Subcutaneous Pedicle Flaps Delay,Burns And Plastic Surgery Procedure
Subcutaneous Pedicle Flaps Raising,Burns And Plastic Surgery Procedure
Subcutaneous Pedicle Flaps Transfer,Burns And Plastic Surgery Procedure
Subdural Tapping,Neuro-Surgery Procedure
Submandibular gland excision.,Cancer Surgery
Submucous Resection,ENT Procedure
Subtotal Thyroidectomy,ENT Procedure
Suction Evacuation Vesicular Mole,Obstetrics And Gynaecology Procedure
Suprapubic Drainage (Cystostomy/vesicostomy),Nephrology And Urology Procedure
Surface Marker Complete Panel,Oncology Investigations
Surface Marker Individual,Oncology Investigations
Surgery for Scalp Arteriovenous Malformations (AVMs),Neuro-Surgery Procedure
Surgery for Skull Fractures,Neuro-Surgery Procedure
Surgery for intracranial Arteriovenous malformations (AVM),Neuro-Surgery Procedure
Surgery for recurrent disc prolapse/epidural fibrosis,Neuro-Surgery Procedure
Surgical - Apicectomy/ Periapical surgery without bone grafting,Dental Procedure
Surgical Augmentation/Alveolectomy per Arch,Dental Procedure
Surgical management of PPH (Uterine compression stitches/stepwise devascularisation)/peripartum hysterectomy,Obstetrics And Gynaecology Procedure
Surgical posterior capsulotomy one eye,Ophthalmology Procedure
Sustained low efficiency haemodialysis /haemodialysis,Nephrology And Urology Procedure
Suturing of lid lacerations- Both Eyes,Ophthalmology Procedure
Suturing of small wounds,General Surgery
Syndactyly Repair,Burns And Plastic Surgery Procedure
Syringing (Ear),ENT Procedure
T-cell Acute Lymphoblastic Leukemia (T-ALL) Panel,Oncology Investigations
"T3, T4, TSH -Thyroid Function Test (TFT)",Laboratory Investigation
TAH (Total Abdominal Hysterectomy,Cancer Surgery
TAH + BSO + Node Sampling,Cancer Surgery
TAH + BSO + Omento + Node Dissection,Cancer Surgery
TAH + BSO + Pelvic Lymphadenectomy + Para-aortic,Cancer Surgery
TAH+ BSO + Omentectomy,Cancer Surgery
TAH+ Bil. Salpingo-Oopherectomy,Cancer Surgery
TAVI / TAVR Implant (cost of implant only),Cardiology Implant(Valve)
TCR-A rearrangement: 14q11,Oncology Investigations
TERT Promoter Mutation Assay,Oncology Investigations
TFE-3 FISH,Oncology Investigations
TORCH Test,Laboratory Investigation
TPHA,Laboratory Investigation
TPMT (Thiopurine Methyl Transferase) Genotyping,Oncology Investigations
TSH Receptor Antibody,Laboratory Investigation
TTT- Transpupillary thermal therapy per eye,Ophthalmology Procedure
Tacrolimus Level,Laboratory Investigation
Talar/Calcaneal Resection,Cancer Surgery
Tarsorrhaphy- Both Eyes,Ophthalmology Procedure
Telecanthus correction- Both Eyes,Ophthalmology Procedure
Temporal Bone Subtotal Resection,Head and Neck Surgery
Temporal bone resection.,Cancer Surgery
Temporary Pacemaker Implantation (TPI) (Temporary Cardiac Pacing) Single Chamber,Cardiology Procedure
Temporary restoration,Dental Procedure
Temporomandibular(TM) joint ankylosis- under GA/Open /Closed Reduction,Dental Procedure
Tendon Lengthening/Tendon repair,Orthopaedics Procedure
Tendon Transfer,Orthopaedics Procedure
Tendon with Transplant or Graft,Orthopaedics Procedure
Tension Band Wirings,Orthopaedics Procedure
Terminal Colostomy,Abdomen/GI Surgery Procedure
Testicular Biopsy,Cancer Surgery
Testicular Biopsy,Nephrology And Urology - Biopsy
Testicular Scan with Technetium 99m Pertechnetate,Nuclear Medicine Investigation
"Tests for Antiphospholipid Antibody IgG, IgM (for Cardiolipin and B2 Glycoprotein 1)",Laboratory Investigation
"Tests for Hypercoagulable States- Protein C, Protein S, Antithrombin",Laboratory Investigation
Tests for Lupus Anticoagulant,Laboratory Investigation
Tests for Sickling / Hb HPLC),Laboratory Investigation
Tetralogy of Fallot (TOF)/TAPVC/TCPC/REV/RSOV repair,Cardiovascular And Cardiac Surgery Procedure
Thalassemia Studies (Red Cell Indices and Hb HPLC),Laboratory Investigation
Thermal balloon ablation.,Obstetrics And Gynaecology Procedure
Thoracic & Paediatrics,Cancer Surgery
Thoracic Surgery (Comb. Of two or more),Cancer Surgery
Thoraco Abdominal Aneurysm Repair,Cardiovascular And Cardiac Surgery Procedure
Thoracoscopic Excision,Cancer Surgery
Thoracoscopic Lobectomy/ Pneumonectomy,Cancer Surgery
Thoracoscopic Pleurectomy,Cancer Surgery
Thoracoscopic Pleurodesis,Cancer Surgery
Thoracoscopy-Diagnostic,Cancer Surgery
Thoracoscopy-Therapeutic,Cancer Surgery
Thoracotomy-Inoperable,Cancer Surgery
Thorax (Trucut Biopsy),Cancer Surgery
Thorax Re-Exploration,Cancer Surgery
Three phase whole body Bone Scan,Nuclear Medicine Investigation
Thymectomy,Cancer Surgery
Thymectomy with Vascular Surgery/Lung,Cancer Surgery
Thyroglobulin antibody,Laboratory Investigation
Thyroglobulin.,Laboratory Investigation
Thyroid Scan with Technetium 99m Pertechnetate,Nuclear Medicine Investigation
Thyroid Uptake measurements with 131-Iodine.,Nuclear Medicine Investigation
Thyroid binding globulin,Laboratory Investigation
Thyroid peroxidase antibody (TPO),Laboratory Investigation
Thyroid stimulating hormone (TSH),Laboratory Investigation
Thyroid-Hemi/Subtotal/Total-thyroidectomy.,Cancer Surgery
Thyroidectomy (-Hemi/subtotal/ Total) with neck,Cancer Surgery
Thyroidectomy with Tracheal Resection,Cancer Surgery
Tikhoff Lindberg,Cancer Surgery
Tilt Training/Neuro-Rehab Basic (per session),Physiotherapy
"Tissue Conditioning, Maxillary/Mandibular",Dental Procedure
Toe Nail Removal,General Surgery
Tongue Tie excision,ENT Procedure
Tongue composite resection/Commando Tracheal resection with anastomosis.,Cancer Surgery
Tongue wide excision per oral with neck dissection.,Cancer Surgery
Tongue wide excision per oral.,Cancer Surgery
Tongue/Floor of the Mouth-Pull through necck.,Cancer Surgery
Tonsillectomy,ENT Procedure
Tonsillectomy.,Cancer Surgery
Tooth Splinting -General,Dental Procedure
Tooth Supported Overdenture Per Arch,Dental Procedure
Torsion Testis Operation,Paediatric Surgery Procedure
Total Amputation & Excision of External Auditory Meatus,ENT Procedure
Total Amputation of Pinna,ENT Procedure
Total Ankle Joint Replacement (TAR) - Unilateral,Orthopaedics Procedure
Total Colectomy,Abdomen/GI Surgery Procedure
Total Elbow Joint Replacement - Unilateral,Orthopaedics Procedure
Total Esophagectomy (Trans Thoracic),Cancer Surgery
Total Esophagectomy (Transhiatal),Cancer Surgery
Total Finger Joint Replacement,Orthopaedics Procedure
Total Hip Replacement (THR),Orthopaedics Procedure
Total Hip Replacement (THR) Revision Stage-I,Orthopaedics Procedure
Total Hip Replacement (THR) Revision Stage-II,Orthopaedics Procedure
Total Iron Binding Capacity (TIBC),Laboratory Investigation
Total Knee Joint Replacement (TKR) - Unilateral,Orthopaedics Procedure
Total Knee Replacement (TKR) Revision Stage-I,Orthopaedics Procedure
Total Knee Replacement (TKR) Revision Stage-II,Orthopaedics Procedure
Total Laparoscopic Hysterectomy with or without BSO,Obstetrics And Gynaecology Procedure
Total Leucocytic Count (TLC),Laboratory Investigation
Total Protein Albumin/Globulin Ratio (A/G Ratio),Laboratory Investigation
"Total Red Cell count with MCV,MCH,MCHC,DRW",Laboratory Investigation
Total Shoulder Joint Replacement - Unilateral,Orthopaedics Procedure
Total Thyroidectomy,ENT Procedure
Total Wrist Joint Replacement - Unilateral,Orthopaedics Procedure
Total amputation of the Penis,Nephrology And Urology Procedure
Trabeculectomy per eye,Ophthalmology Procedure
Trabeculectomy with Trabeculotomy- Both Eyes,Ophthalmology Procedure
Trabeculotomy /kahook dual blade goniotomy excluding blade cost per eye,Ophthalmology Procedure
Tracheal Resection,Cancer Surgery
Tracheal Stenosis Excision,ENT Procedure
Tracheal Stent,Cancer Surgery
Tracheal wall partial resection.,Cancer Surgery
Tracheoesophageal Fistula (Correction Surgery),Paediatric Surgery Procedure
Tracheostom-y,Cancer Surgery
Tracheostomy,ENT Procedure
Trans Oral Surgery,Neuro-Surgery Procedure
Trans Sphenoidal Surgery,Neuro-Surgery Procedure
Trans Thoracic Needle Biopsy Genitourinary/,Cancer Surgery
Trans-obturator tapes for Stress incontinence,Obstetrics And Gynaecology Procedure
Trans-sphenoidal surgery,Cancer Surgery
Transarterial Chemoembolization (TACE),Interventional Radiological Procedure
"Transcatheter Aortic Valve Implantation (TAVI) / Transcatheter Aortic Valve Replacement (TAVR) - Procedure Cost. (Approval of Director, CGHS in consultation with Special Technical Committee (STC) is required for this procedure)",Cardiology Procedure
Transcervical/Hysteroscopic Polypectomy,Obstetrics And Gynaecology Procedure
Transjugular Intrahepatic Portosystemic Shunt (TIPS),Gastroenterology/Interventional Radiology Procedures
Transrectal Ultrasound (TRUS) guided prostate biopsy,Nephrology And Urology - Biopsy
Transurethral Resection of Prostate (TURP),Nephrology And Urology Procedure
Transurethral Resection of Prostate (TURP) with Cystolithotripsy,Nephrology And Urology Procedure
Transvaginal tapes for Stress incontinence,Obstetrics And Gynaecology Procedure
Treadmill Test (TMT),Cardiology Investigation
Triglycerides,Laboratory Investigation
"Triple Marker Test (AFP,HCG,UE3)",Laboratory Investigation
Triple Phase CT abdomen,Radiological Investigation
Trisomy 12,Oncology Investigations
Trisomy 21,Oncology Investigations
"Trisomy 4, 10 & 17",Oncology Investigations
Trisomy 8,Oncology Investigations
Troponin I,Laboratory Investigation
Troponin T,Laboratory Investigation
Trucut Needle Biopsy- (excluding the cost of Needle/Biopsy Gun if used),Biopsies
Tube Plaster (or plaster cylinder),Orthopaedics Procedure
Tubular external fixator,Orthopaedics Procedure
Turbinectomy,ENT Procedure
Twist Drill Craniostomy,Neuro-Surgery Procedure
Tympanoplasty,ENT Procedure
Tympanotomy,ENT Procedure
Typhidot IgM,Laboratory Investigation
UBM- Ultrasound bio microscopy- Both Eyes,Ophthalmology Investigation
UGT1A1 Gene Analysis,Laboratory Investigation
USG Breast including relevant Lymph nodes- Bilateral/Unilateral,Radiological Investigation
USG Colour Doppler Pregnancy / Fetal Doppler/Umbilical Doppler/Uterine Vessel Doppler,Radiological Investigation
USG Guided Intervention - Specialized Procedures excluding cost of Catheter or biopsy gun,Interventional Radiological Procedure
USG Guided Intervention -Therapeutic,Interventional Radiological Procedure
USG Guided Intervention- Diagnostic,Interventional Radiological Procedure
USG Hysterosalpingography (HSG),Radiological Investigation
"USG Large Parts (Joints/Chest,...etc)",Radiological Investigation
USG Neonatal spine,Radiological Investigation
USG Obstetrics for Anomalies scan,Radiological Investigation
"USG Small parts (scrotum, thyroid, parathyroid etc)",Radiological Investigation
USG Transvaginal sonography (TVS for Follicular monitoring /aspiration) /TVS for follicular monitoring/pelvic pathology/ET measurement,Radiological Investigation
USG Whole Abdomen Including Pelvis and post Void urine,Radiological Investigation
Ulna Lower End Excision,Cancer Surgery
Ultra Sonic Therapy /Short Wave Diathermy / Microwave/ Long Wave Diathermy /Infrared/IFT) (per session),Physiotherapy
Ultrasonographic myolysis,Obstetrics And Gynaecology Procedure
"Ultrasound A- Scan/optical biometry[lenstar, IOL master] - Both Eyes",Ophthalmology Investigation
Ultrasound B- Scan - Both Eyes,Ophthalmology Investigation
Ultrasound Guided Percutaneous Nephrostomy (PCN),Nephrology And Urology Procedure
Ultrasound guided kidney Biopsy,Nephrology And Urology - Biopsy
Ultraviolet (UV) radiation for cross-linking for keratoconus /C3R/KXL - Both Eyes,Ophthalmology Procedure
Umbilical Hernia Repair - excluding the cost of mesh and tacker,Abdomen/GI Surgery Procedure
Ureter(s) Reimplantation of Ureterectomy + Bladder Cuff,Cancer Surgery
Ureteric Catheterisation/DJ Stenting,Nephrology And Urology Procedure
Ureteric Reimplant for Megaureter / Vesicoureteric reflux/ ureterocele (Laparoscopic),Nephrology And Urology Procedure
Ureteric Reimplant for Megaureter/ Vesicoureteric reflux/ureterocele (Open),Nephrology And Urology Procedure
